vector_size=64, window=8, alpha=0.0001213397717409697, min_alpha=0.00045066493589518826, negative=17, sg=1, score=15.34744526389233
vector_size=128, window=10, alpha=0.0945155483519236, min_alpha=0.0034954034593152913, negative=11, sg=1, score=24.648403037659364
vector_size=128, window=10, alpha=0.08650789738700221, min_alpha=0.002852146366159749, negative=10, sg=1, score=24.60630942839185
vector_size=128, window=8, alpha=0.03356257148250323, min_alpha=0.0031007673436496074, negative=16, sg=1, score=23.987591034637852
vector_size=64, window=10, alpha=0.022158386293813236, min_alpha=0.002609968322468484, negative=20, sg=1, score=24.27820992601904
vector_size=128, window=9, alpha=0.08521064350866756, min_alpha=0.000661189179698265, negative=11, sg=1, score=24.51289621330504
vector_size=64, window=7, alpha=0.026463764583795023, min_alpha=0.0018786314578223477, negative=16, sg=1, score=23.92358568355985
vector_size=256, window=9, alpha=0.00037092583146752924, min_alpha=0.00041378980769772307, negative=9, sg=1, score=14.75525161022471
vector_size=128, window=7, alpha=0.015053681212758506, min_alpha=0.004221871256102584, negative=15, sg=1, score=23.218373572132876
vector_size=64, window=3, alpha=0.0938067930765472, min_alpha=0.0018300116151349272, negative=8, sg=1, score=23.547049699290177
vector_size=128, window=9, alpha=0.04661038219006087, min_alpha=0.0008617243261376724, negative=12, sg=1, score=24.29781516869158
vector_size=128, window=10, alpha=0.09707490618063158, min_alpha=0.003061427290028429, negative=10, sg=1, score=24.696839519556228
vector_size=128, window=10, alpha=0.01451460991022689, min_alpha=0.004041920364739804, negative=12, sg=1, score=23.847471212007633
vector_size=128, window=10, alpha=0.04526710450212766, min_alpha=0.0022759422082901655, negative=9, sg=1, score=24.45696360920985
vector_size=128, window=9, alpha=0.05995292810615689, min_alpha=0.006209441201208543, negative=5, sg=1, score=24.51808583636542
vector_size=64, window=10, alpha=0.016940021808466314, min_alpha=0.0012683980159058955, negative=13, sg=1, score=23.929351931404717
vector_size=512, window=9, alpha=0.09929246028187637, min_alpha=0.0036932479655900656, negative=10, sg=1, score=20.27182092340693
vector_size=256, window=8, alpha=0.03056858984727836, min_alpha=0.002076455171439568, negative=8, sg=1, score=23.83536209153342
vector_size=128, window=7, alpha=0.059851950797698686, min_alpha=0.0032638891182765876, negative=11, sg=1, score=24.092536745414392
vector_size=64, window=6, alpha=0.010779437101118828, min_alpha=0.00037160430813474904, negative=7, sg=1, score=22.95543267040704
vector_size=64, window=10, alpha=0.00039828701720512056, min_alpha=0.0002475692297126849, negative=20, sg=1, score=14.47674183931774
vector_size=128, window=10, alpha=0.0697650960225323, min_alpha=0.0025057926289053013, negative=10, sg=1, score=24.50482346632223
vector_size=128, window=9, alpha=0.03603304857129518, min_alpha=0.005048575865596161, negative=10, sg=1, score=24.27013717903623
vector_size=128, window=10, alpha=0.09537716798653074, min_alpha=0.0015869130690498632, negative=9, sg=1, score=24.68011740080612
vector_size=512, window=9, alpha=0.05416722942414094, min_alpha=0.00010998318505879735, negative=7, sg=1, score=23.926468807482284
vector_size=128, window=10, alpha=0.02376537855394226, min_alpha=0.001357183414645245, negative=8, sg=1, score=24.270713803820716
vector_size=128, window=9, alpha=0.06235369842670293, min_alpha=0.001710376556363652, negative=13, sg=1, score=24.344521776234988
vector_size=128, window=10, alpha=0.03884399969075891, min_alpha=0.0011311941283165606, negative=9, sg=1, score=24.43389861783039
vector_size=512, window=8, alpha=0.000827745828358416, min_alpha=0.006765554999588111, negative=14, sg=1, score=23.284685422348826
vector_size=256, window=6, alpha=0.004341909396566149, min_alpha=0.0015227022626862355, negative=18, sg=1, score=22.228885441954066
vector_size=128, window=10, alpha=0.06996038324215358, min_alpha=0.0050312327727018566, negative=12, sg=1, score=24.35547764714023
vector_size=128, window=10, alpha=0.09755610181846104, min_alpha=0.002884598167855165, negative=10, sg=1, score=24.651862786366284
vector_size=128, window=10, alpha=0.08631796702731845, min_alpha=0.0023076056192534657, negative=11, sg=1, score=24.56421581912434
vector_size=128, window=9, alpha=0.042173762921838984, min_alpha=0.0009954113130637994, negative=9, sg=1, score=24.373929640243798
vector_size=128, window=10, alpha=0.0024375232839969774, min_alpha=0.0031925440325110605, negative=6, sg=1, score=23.72407350812753
vector_size=64, window=9, alpha=0.09912660644130841, min_alpha=0.000673034563395654, negative=10, sg=1, score=25.223297947792396
vector_size=64, window=9, alpha=0.06925179424451482, min_alpha=0.0007475605966577607, negative=7, sg=1, score=25.043391015032608
vector_size=64, window=8, alpha=0.020654086251184433, min_alpha=0.0006507687900468882, negative=7, sg=1, score=23.970868915887742
vector_size=64, window=9, alpha=0.01043444459015876, min_alpha=0.0006617282947531293, negative=8, sg=1, score=23.577034188083474
vector_size=64, window=9, alpha=0.0696793789065477, min_alpha=0.0008339404955953974, negative=7, sg=1, score=25.025515646713526
vector_size=64, window=8, alpha=0.03158770137166444, min_alpha=0.0003261656863497223, negative=5, sg=1, score=24.446007738304605
vector_size=64, window=9, alpha=0.06670948545262681, min_alpha=0.0005323684629549273, negative=6, sg=1, score=25.01052340231688
vector_size=64, window=9, alpha=0.0685905254268176, min_alpha=0.0005187069114057081, negative=6, sg=1, score=24.99207140921331
vector_size=64, window=8, alpha=0.06865124199133037, min_alpha=0.0005606794087791086, negative=6, sg=1, score=24.958627171713093
vector_size=64, window=9, alpha=0.04640945520572051, min_alpha=0.0004960236918577853, negative=5, sg=1, score=24.868097080548715
